Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,54,11,20.6,3.5,7.3,.483,0.5,1.9,.262,3.0,5.4,.562,.518,1.6,2.3,.702,1.8,4.0,5.8,0.9,0.5,0.6,1.1,1.9,9.1
Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
Bam Adebayo,C,25,MIA,74,74,35.0,8.1,15.0,.540,0.0,0.2,.083,8.1,14.9,.545,.541,4.4,5.4,.806,2.5,6.8,9.3,3.2,1.2,0.8,2.5,2.8,20.6
Ochai Agbaji,SG,22,UTA,57,20,20.1,2.6,6.1,.434,1.4,3.8,.364,1.3,2.4,.545,.546,0.9,1.1,.797,0.7,1.3,2.1,1.0,0.2,0.3,0.6,1.7,7.6
Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,.470,1.2,3.5,.353,2.0,3.4,.591,.560,1.4,1.9,.750,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0
Nickeil Alexander-Walker,SG,24,TOT,57,3,14.9,2.2,5.0,.438,1.0,2.6,.373,1.2,2.3,.511,.537,0.7,1.1,.667,0.2,1.5,1.8,1.8,0.5,0.4,0.9,1.5,6.0
Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
Nickeil Alexander-Walker,SG,24,MIN,21,0,15.4,2.0,5.4,.363,1.0,3.0,.333,1.0,2.4,.400,.456,0.6,1.0,.619,0.3,1.7,2.0,1.3,0.3,0.3,0.4,1.2,5.5
Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,.440,2.0,5.1,.399,1.4,2.7,.518,.571,1.6,1.8,.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4
Jarrett Allen,C,24,CLE,67,67,33.0,6.0,9.3,.645,0.0,0.1,.111,6.0,9.1,.653,.645,2.4,3.3,.733,3.3,6.6,9.9,1.7,0.8,1.2,1.4,2.3,14.4
Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
Kyle Anderson,PF,29,MIN,67,46,28.3,3.7,7.2,.509,0.6,1.5,.416,3.0,5.7,.534,.553,1.5,2.0,.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.2,9.4
Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,.553,0.7,2.7,.275,10.5,17.6,.596,.572,7.9,12.3,.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1
Thanasis Antetokounmpo,SF,30,MIL,36,0,4.9,0.4,1.1,.421,0.0,0.2,.000,0.4,0.9,.516,.421,0.1,0.4,.357,0.4,0.7,1.1,0.3,0.1,0.1,0.3,0.6,1.0
Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,.454,1.3,3.4,.364,3.4,6.7,.500,.516,2.5,2.8,.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0
OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,.476,2.1,5.5,.387,4.2,7.7,.539,.556,2.1,2.5,.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8
Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,.243,0.4,1.2,.348,0.1,0.7,.071,.351,0.0,0.0,,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3
Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,.250,0.8,2.2,.350,0.1,1.3,.083,.359,0.0,0.0,,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6
Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,.437,0.9,3.1,.297,2.4,4.6,.530,.497,1.6,2.2,.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2
Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,.589,0.1,0.4,.292,7.7,12.9,.597,.592,2.3,3.0,.760,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0
Udoka Azubuike,C,23,UTA,34,2,8.9,1.5,1.8,.806,0.0,0.0,,1.5,1.8,.806,.806,0.1,0.5,.313,0.8,2.2,3.0,0.3,0.2,0.4,0.5,0.9,3.1
Marvin Bagley III,C,23,DET,41,25,23.7,4.8,9.0,.532,0.4,1.5,.274,4.4,7.5,.584,.555,2.0,2.6,.750,2.3,4.1,6.4,0.9,0.4,0.7,1.1,1.9,12.0
Patrick Baldwin Jr.,SF,20,GSW,30,0,7.2,1.3,3.4,.392,1.0,2.6,.380,0.3,0.8,.435,.539,0.1,0.2,.667,0.0,1.2,1.2,0.3,0.2,0.1,0.4,0.5,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,.411,4.0,10.6,.376,4.2,9.4,.450,.510,2.8,3.4,.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
Mo Bamba,C,24,TOT,48,7,16.0,2.4,5.0,.485,1.0,2.6,.387,1.4,2.4,.590,.585,0.9,1.3,.661,1.2,3.5,4.7,1.0,0.3,0.9,0.6,2.2,6.7
Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,.495,1.1,2.7,.398,1.6,2.7,.594,.596,0.9,1.3,.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
Mo Bamba,C,24,LAL,8,1,10.9,1.4,3.4,.407,0.6,2.0,.313,0.8,1.4,.545,.500,0.8,1.4,.545,1.4,3.6,5.0,0.5,0.1,0.6,1.0,2.4,4.1
Paolo Banchero,PF,20,ORL,72,72,33.8,6.7,15.6,.427,1.2,4.0,.298,5.5,11.6,.471,.465,5.5,7.4,.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0
Desmond Bane,SG,24,MEM,58,58,31.7,7.8,16.2,.479,2.9,7.0,.408,4.9,9.2,.534,.568,3.1,3.5,.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5
Dalano Banton,PG,23,TOR,30,2,8.6,1.7,3.9,.424,0.5,1.6,.313,1.2,2.3,.500,.487,0.5,0.7,.727,0.3,1.0,1.3,1.0,0.4,0.4,0.5,1.0,4.4
Dominick Barlow,SF,19,SAS,26,0,13.3,1.4,2.7,.522,0.0,0.2,.000,1.4,2.5,.554,.522,0.5,0.7,.722,1.5,1.5,3.0,0.8,0.3,0.7,0.5,1.9,3.3
Harrison Barnes,PF,30,SAC,81,81,32.6,4.6,9.7,.471,1.6,4.3,.367,3.0,5.4,.553,.552,4.3,5.1,.847,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0
Scottie Barnes,PF,21,TOR,76,75,34.9,6.0,13.3,.456,0.8,2.9,.284,5.2,10.3,.504,.487,2.5,3.2,.772,2.4,4.4,6.7,4.8,1.1,0.8,2.0,2.2,15.4
